ML1G000200	KOG4535
ML4G287300	KOG0014
ML4G288000	KOG1258
ML4G288100	KOG1208
ML4G288300	KOG3343
ML4G288400	KOG4073
ML4G288500	KOG3431
ML4G288800	KOG1699
ML4G289200	KOG1187
ML4G290200	KOG0829
ML4G290300	KOG0157
ML4G290500	KOG4658
ML4G290600	KOG0498
ML4G290800	KOG0143
ML4G291100	KOG1187
ML4G292400	KOG2608
ML4G293100	KOG4361
ML4G295200	KOG1286
ML4G295300	KOG1902
ML4G295400	KOG2073
ML4G295500	KOG0299
ML4G295600	KOG1996
ML4G295900	KOG0534
ML4G296000	KOG1030
ML4G296500	KOG1187
ML4G296600	KOG1045
ML4G296700	KOG1187
ML4G296800	KOG1187
ML4G297100	KOG0698
ML4G297700	KOG0539
ML4G298900	KOG3230
ML4G299000	KOG2115
ML4G299100	KOG0157
ML4G299600	KOG0092
ML4G299700	KOG1339
ML4G299800	KOG1267
ML4G300000	KOG1558
ML4G300300	KOG3402
ML4G301300	KOG1187
ML4G301400	KOG0682
ML4G301600	KOG4658
ML4G301700	KOG1558
ML4G301900	KOG0544
ML4G302100	KOG2369
ML4G302200	KOG3275
ML4G302300	KOG1021
ML4G302800	KOG1385
ML4G304000	KOG1575
ML4G304600	KOG0653
ML4G304700	KOG0010
ML4G304800	KOG0010
ML4G305500	KOG0156
ML4G305800	KOG0490
ML4G305900	KOG2722
ML4G306000	KOG0698
ML4G306100	KOG0998
ML4G306300	KOG1082
ML4G306400	KOG0998
ML4G306700	KOG0472
ML4G306800	KOG0254
ML4G307100	KOG1801
ML4G307900	KOG1801
ML4G308000	KOG3178
ML4G308200	KOG1441
ML4G308300	KOG0027
ML4G308300	KOG4223
ML4G308800	KOG1801
ML4G309000	KOG1801
ML4G309700	KOG1801
ML4G309900	KOG4172
ML4G310100	KOG0048
ML4G310600	KOG1801
ML4G311600	KOG0198
ML4G311800	KOG1801
ML4G311900	KOG0819
ML4G312100	KOG0698
ML4G312500	KOG1801
ML4G312900	KOG1801
ML4G314200	KOG2888
ML4G314400	KOG2540
ML4G314800	KOG4473
ML4G314900	KOG4473
ML4G315100	KOG0869
ML4G315200	KOG0869
ML4G315500	KOG0869
ML4G315600	KOG0869
ML4G315700	KOG0869
ML4G316000	KOG1715
ML4G316300	KOG2741
ML4G316400	KOG1187
ML4G316600	KOG1844
ML4G316900	KOG4192
ML4G317000	KOG1339
ML4G317300	KOG1752
ML4G317600	KOG0075
ML4G317700	KOG1187
ML4G317900	KOG1640
ML4G318000	KOG0048
ML4G318100	KOG1515
ML4G318500	KOG1515
ML4G318700	KOG0533
ML4G318900	KOG2179
ML4G320400	KOG0023
ML4G320500	KOG0239
ML4G320600	KOG2506
ML4G320800	KOG1021
ML4G321000	KOG2190
ML4G321700	KOG1187
ML4G322100	KOG2174
ML4G322300	KOG0014
ML4G322900	KOG0014
ML4G323100	KOG0014
ML4G323200	KOG3893
ML4G324000	KOG1865
ML4G324100	KOG0759
ML4G324200	KOG0759
ML4G324900	KOG0841
ML4G325000	KOG0656
ML4G325100	KOG2440
ML4G326300	KOG0483
ML4G326500	KOG1493
ML4G327900	KOG0007
ML4G328000	KOG0841
ML4G328100	KOG2787
ML4G328200	KOG0583
ML4G328300	KOG1646
ML4G328400	KOG2198
ML4G328500	KOG0087
ML4G329000	KOG2914
ML4G329200	KOG1454
ML4G329400	KOG0156
ML4G329500	KOG0156
ML4G330000	KOG0156
ML4G330100	KOG0156
ML4G330200	KOG1187
ML4G330300	KOG0048
ML4G330400	KOG3436
ML4G330500	KOG1871
ML4G330800	KOG0094
ML4G331000	KOG4089
ML4G331100	KOG2372
ML4G331600	KOG2792
ML4G331700	KOG0548
ML4G333300	KOG0565
ML4G333400	KOG0235
ML4G334100	KOG0257
ML4G334200	KOG2796
ML4G334600	KOG3855
ML4G334700	KOG1339
ML4G334900	KOG3154
ML4G335000	KOG2988
ML4G335100	KOG1913
ML4G336300	KOG1187
ML4G336400	KOG1235
ML4G337600	KOG0156
ML4G337700	KOG0156
ML4G337900	KOG4692
ML4G338500	KOG0156
ML4G338800	KOG1589
ML4G338900	KOG4308
ML4G339700	KOG0157
ML4G340300	KOG1120
ML4G340700	KOG0768
ML4G340900	KOG1187
ML4G341000	KOG1187
ML4G341400	KOG1441
ML4G341800	KOG1311
ML4G343400	KOG0242
ML4G343500	KOG2182
ML4G343600	KOG0581
ML4G343900	KOG2819
ML4G344000	KOG1946
ML4G344300	KOG3156
ML4G344400	KOG0156
ML4G344500	KOG0156
ML4G344700	KOG0472
ML4G344800	KOG0531
ML4G344900	KOG2293
ML4G345300	KOG1088
ML4G345800	KOG1752
ML4G346200	KOG4551
ML4G346300	KOG0907
ML4G346500	KOG0820
ML4G346700	KOG0157
ML4G346800	KOG1121
ML4G346900	KOG1339
ML4G347300	KOG1715
ML4G348900	KOG3146
ML4G349000	KOG3146
ML4G349200	KOG1423
ML4G349600	KOG1502
ML4G349800	KOG1493
ML4G349900	KOG1626
ML4G350000	KOG2035
ML4G350200	KOG1454
ML4G350400	KOG2007
ML4G350600	KOG0032
ML4G350700	KOG3328
ML4G351600	KOG1844
ML4G351800	KOG0028
ML4G351900	KOG2887
ML4G352100	KOG2092
ML4G352200	KOG4843
ML4G352300	KOG0223
ML4G352400	KOG0223
ML4G352600	KOG0223
ML4G352800	KOG1515
ML5G000400	KOG1276
ML5G000500	KOG4742
ML5G000800	KOG1549
ML5G000900	KOG4036
ML5G001300	KOG1418
ML5G001700	KOG1187
ML5G001900	KOG0974
ML5G002000	KOG1654
ML5G002100	KOG2231
ML5G002300	KOG2811
ML5G002400	KOG0004
ML5G002500	KOG0004
ML5G002700	KOG0725
ML5G003000	KOG0698
ML5G004300	KOG4267
ML5G004500	KOG1187
ML5G004900	KOG0417
ML5G005200	KOG0131
ML5G006700	KOG0070
ML5G006800	KOG0070
ML5G006900	KOG1950
ML5G007000	KOG0070
ML5G007200	KOG0143
ML5G007300	KOG2656
ML5G007400	KOG2358
ML5G009000	KOG0881
ML5G009700	KOG0840
ML5G010200	KOG2100
ML5G011000	KOG0077
ML5G011400	KOG2886
ML5G011600	KOG3901
ML5G011700	KOG0713
ML5G012400	KOG4683
ML5G012500	KOG0257
ML5G013000	KOG4012
ML5G013700	KOG0764
ML5G013900	KOG2061
ML5G014300	KOG0519
ML5G014400	KOG1696
ML5G015000	KOG0853
ML5G015400	KOG1493
ML5G015400	KOG4172
ML5G015500	KOG4178
ML5G015600	KOG4178
ML5G015900	KOG1714
ML5G016000	KOG4206
ML5G016100	KOG1037
ML5G016500	KOG1947
ML5G016600	KOG4851
ML5G016700	KOG1623
ML5G016800	KOG1339
ML5G016900	KOG2316
ML5G017100	KOG4176
ML5G017500	KOG1339
ML5G017700	KOG1339
ML5G018200	KOG1339
ML5G018500	KOG1339
ML5G018600	KOG1339
ML5G018700	KOG1339
ML5G018900	KOG1940
ML5G019100	KOG1752
ML5G019200	KOG1779
ML5G019300	KOG1752
ML5G019700	KOG1677
ML5G019800	KOG2726
ML5G020000	KOG1267
ML5G020100	KOG0107
ML5G020100	KOG4207
ML5G020200	KOG1267
ML5G020300	KOG1267
ML5G020400	KOG1267
ML5G020500	KOG1267
ML5G021100	KOG2167
ML5G021400	KOG1134
ML5G021700	KOG1485
ML5G022200	KOG2111
ML5G022400	KOG0867
ML5G022500	KOG0867
ML5G022600	KOG0867
ML5G022700	KOG0867
ML5G022900	KOG3220
ML5G023400	KOG2762
ML5G024000	KOG3153
ML5G024200	KOG1188
ML5G024300	KOG3158
ML5G024400	KOG0058
ML5G024500	KOG4771
ML5G025100	KOG4658
ML5G025600	KOG0105
ML5G025700	KOG0920
ML5G025900	KOG4658
ML5G026000	KOG2963
ML5G026300	KOG3459
ML5G026400	KOG1455
ML5G026500	KOG4096
ML5G026600	KOG3434
ML5G026700	KOG2502
ML5G027000	KOG1399
ML5G027100	KOG1320
ML5G027200	KOG0692
ML5G027300	KOG0725
ML5G027500	KOG0753
ML5G027600	KOG0144
ML5G028600	KOG3416
ML5G028700	KOG1756
ML5G028900	KOG1462
ML5G029100	KOG1659
ML5G029600	KOG3215
ML5G029700	KOG0148
ML5G029800	KOG2590
ML5G030000	KOG1134
ML5G030100	KOG1187
ML5G030200	KOG2179
ML5G030500	KOG0027
ML5G030600	KOG1616
ML5G031100	KOG2093
ML5G031900	KOG1263
ML5G032000	KOG0583
ML5G032100	KOG1187
ML5G032300	KOG1237
ML5G033000	KOG1444
ML5G034200	KOG0032
ML5G034500	KOG1187
ML5G034600	KOG3912
ML5G035100	KOG4271
ML5G035900	KOG2443
ML5G036200	KOG4096
ML5G036300	KOG3364
ML5G036500	KOG2922
ML5G037500	KOG0421
ML5G038500	KOG0130
ML5G038700	KOG0519
ML5G039000	KOG0061
ML5G039200	KOG2178
ML5G039400	KOG2246
ML5G039500	KOG2246
ML5G039600	KOG2246
ML5G039800	KOG4569
ML5G040500	KOG1502
ML5G040600	KOG0198
ML5G041100	KOG0032
ML5G041200	KOG2927
ML5G041300	KOG1561
ML5G041500	KOG0166
ML5G042700	KOG2390
ML5G043400	KOG0148
ML5G043600	KOG1505
ML5G044400	KOG1493
ML5G044800	KOG2676
ML5G045100	KOG2474
ML5G045300	KOG1001
ML5G045300	KOG1002
ML5G045500	KOG0198
ML5G045500	KOG0583
ML5G045500	KOG0598
ML5G045600	KOG3173
ML5G045800	KOG0322
ML5G045900	KOG3336
ML5G046200	KOG0610
ML5G046300	KOG3191
ML5G046500	KOG4579
ML5G047000	KOG1745
ML5G047200	KOG3119
ML5G047300	KOG2132
ML5G047600	KOG1176
ML5G047800	KOG2742
ML5G048800	KOG1187
ML5G048900	KOG0725
ML5G049600	KOG0331
ML5G050100	KOG4159
ML5G050200	KOG0266
ML5G050300	KOG0324
ML5G050400	KOG2765
ML5G050500	KOG0472
ML5G050700	KOG1838
ML5G050800	KOG1187
ML5G051100	KOG2484
ML5G051300	KOG0859
ML5G051400	KOG3042
ML5G051600	KOG2567
ML5G051800	KOG1775
ML5G052000	KOG3414
ML5G052500	KOG1523
ML5G052600	KOG1187
ML5G053200	KOG2857
ML5G053500	KOG4650
ML5G053600	KOG1249
ML5G053800	KOG2857
ML5G054700	KOG1752
ML5G055100	KOG0541
ML5G055300	KOG1399
ML5G055500	KOG4658
ML5G055800	KOG1187
ML5G056600	KOG2865
ML5G056800	KOG1021
ML5G057100	KOG1187
ML5G057500	KOG0116
ML5G057900	KOG0901
ML5G058100	KOG3479
ML5G058800	KOG4362
ML5G059100	KOG2369
ML5G059700	KOG1238
ML5G059900	KOG0617
ML5G060100	KOG3221
ML5G060200	KOG2197
ML5G060300	KOG3421
ML5G060400	KOG3230
ML5G060800	KOG2355
ML5G060900	KOG2500
ML5G061000	KOG2447
ML5G061400	KOG2834
ML5G062100	KOG1568
ML5G062400	KOG1471
ML5G062800	KOG4249
ML5G063400	KOG2399
ML5G063600	KOG0529
ML5G064000	KOG0143
ML5G064200	KOG1840
ML5G064700	KOG0143
ML5G064800	KOG0143
ML5G065000	KOG1037
ML5G065100	KOG0567
ML5G066100	KOG0157
ML5G066400	KOG2855
ML5G066500	KOG0143
ML5G067100	KOG3465
ML5G067500	KOG1303
ML5G067600	KOG4412
ML5G067700	KOG4412
ML5G067800	KOG3142
ML5G067900	KOG2660
ML5G068200	KOG3297
ML5G068500	KOG2702
ML5G069200	KOG3196
ML5G069500	KOG4175
ML5G069600	KOG3432
ML5G070000	KOG1757
ML5G070300	KOG0682
ML5G070400	KOG1540
ML5G070600	KOG0027
ML5G071400	KOG2462
ML5G071500	KOG0627
ML5G071600	KOG0698
ML5G071900	KOG1338
ML5G072200	KOG2322
ML5G072300	KOG2322
ML5G072600	KOG0589
ML5G072700	KOG1339
ML5G073000	KOG4658
ML5G073100	KOG0978
ML5G073100	KOG1850
ML5G073100	KOG4593
ML5G073100	KOG4807
ML5G073100	KOG4809
ML5G073300	KOG1579
ML5G073500	KOG3087
ML5G073600	KOG0565
ML5G073700	KOG1205
ML5G074600	KOG0315
ML5G075400	KOG3311
ML5G075500	KOG2812
ML5G075800	KOG0265
ML5G075800	KOG0271
ML5G075800	KOG0295
ML5G075800	KOG0316
ML5G075900	KOG4341
ML5G076500	KOG4759
ML5G076700	KOG0513
ML5G076900	KOG1674
ML5G077100	KOG1909
ML5G077500	KOG0448
ML5G078800	KOG3428
ML5G078900	KOG1339
ML5G079000	KOG1339
ML5G079100	KOG1603
ML5G079300	KOG3033
ML5G079900	KOG4174
ML5G080000	KOG4658
ML5G080600	KOG1384
ML5G080900	KOG2118
ML5G081100	KOG1651
ML5G081700	KOG2249
ML5G081800	KOG1603
ML5G081900	KOG3448
ML5G082000	KOG1987
ML5G082400	KOG1571
ML5G082600	KOG4176
ML5G082700	KOG2690
ML5G082900	KOG3013
ML5G083300	KOG0254
ML5G083400	KOG1187
ML5G083500	KOG1187
ML5G083700	KOG2109
ML5G083800	KOG0617
ML5G084100	KOG0266
ML5G084200	KOG1515
ML5G084400	KOG0502
ML5G084400	KOG0508
ML5G084400	KOG4412
ML5G084500	KOG1756
ML5G084600	KOG1756
ML5G084900	KOG1844
ML5G086000	KOG1430
ML5G086200	KOG0472
ML5G086400	KOG0483
ML5G086900	KOG2679
ML5G087000	KOG4747
ML5G087900	KOG2166
ML5G088500	KOG1987
ML5G088700	KOG0271
ML5G088700	KOG0278
ML5G088700	KOG0281
ML5G088700	KOG0315
ML5G088700	KOG0316
ML5G088700	KOG0647
ML5G089000	KOG2295
ML5G089400	KOG1187
ML5G089700	KOG2000
ML5G089800	KOG2000
ML5G090500	KOG2934
ML5G091800	KOG2391
ML5G092300	KOG0027
ML5G092700	KOG1052
ML5G092800	KOG1052
ML5G093400	KOG1454
ML5G094100	KOG1187
ML5G094300	KOG2763
ML5G094700	KOG1642
ML5G095000	KOG1534
ML5G095100	KOG0875
ML5G095300	KOG0875
ML5G096000	KOG2457
ML5G096100	KOG0409
ML5G096300	KOG3242
ML5G096800	KOG2778
ML5G096900	KOG4561
ML5G097000	KOG2966
ML5G097100	KOG0335
ML5G097100	KOG0340
ML5G097200	KOG0157
ML5G097300	KOG0157
ML5G097600	KOG1378
ML5G097700	KOG1378
ML5G098400	KOG2487
ML5G099200	KOG1588
ML5G099500	KOG0857
ML5G099600	KOG1187
ML5G099700	KOG1187
ML5G099900	KOG1187
ML5G100000	KOG3369
ML5G100400	KOG0417
ML5G100600	KOG2768
ML5G100900	KOG0331
ML5G101000	KOG0156
ML5G101300	KOG0719
ML5G101800	KOG0254
ML5G102000	KOG2652
ML5G102200	KOG1203
ML5G102300	KOG2246
ML5G102400	KOG2246
ML5G102500	KOG0873
ML5G102700	KOG1619
ML5G102900	KOG1482
ML5G103000	KOG0087
ML5G103200	KOG0198
ML5G103400	KOG3328
ML5G103600	KOG0254
ML5G103900	KOG0157
ML5G104000	KOG2532
ML5G104100	KOG0880
ML5G104300	KOG1051
ML5G104500	KOG1752
ML5G104600	KOG0001
ML5G104600	KOG0005
ML5G104600	KOG4579
ML5G105000	KOG2332
ML5G105200	KOG0760
ML5G105300	KOG1379
ML5G105400	KOG0374
ML5G105500	KOG4658
ML5G105900	KOG2344
ML5G106100	KOG1339
ML5G106700	KOG3928
ML5G106800	KOG1584
ML5G106900	KOG0803
ML5G107100	KOG0315
ML5G109000	KOG2486
ML5G109100	KOG0583
ML5G109500	KOG1768
ML5G109600	KOG4656
ML5G109700	KOG0876
ML5G109800	KOG1441
ML5G109900	KOG1339
ML5G110800	KOG1187
ML5G111600	KOG1052
ML5G111800	KOG1457
ML5G111900	KOG1774
ML5G112200	KOG0581
ML5G112300	KOG1187
ML5G112400	KOG3662
ML5G112700	KOG0029
ML5G112800	KOG4569
ML5G113100	KOG4172
ML5G113300	KOG0175
ML5G113800	KOG0176
ML5G115100	KOG0157
ML5G115200	KOG4658
ML5G115500	KOG0862
ML5G115700	KOG0148
ML5G116000	KOG4658
ML5G116600	KOG4658
ML5G116700	KOG1187
ML5G117300	KOG1493
ML5G118500	KOG3439
ML5G118900	KOG4200
ML5G119300	KOG2369
ML5G119400	KOG2375
ML5G119600	KOG1632
ML5G119800	KOG4183
ML5G119900	KOG0698
ML5G120000	KOG1187
ML5G120200	KOG3324
ML5G121100	KOG3343
ML5G121800	KOG0409
ML5G122700	KOG0264
ML5G123100	KOG0157
ML5G123200	KOG3142
ML5G123300	KOG1187
ML5G124200	KOG1752
ML5G124800	KOG0562
ML5G124800	KOG2134
ML5G124900	KOG2501
ML5G125400	KOG2502
ML5G125600	KOG4658
ML5G126100	KOG2478
ML5G126400	KOG1616
ML5G127100	KOG0483
ML5G127300	KOG0223
ML5G127600	KOG0265
ML5G127600	KOG0279
ML5G127600	KOG0316
ML5G127600	KOG1332
ML5G128100	KOG0265
ML5G128500	KOG4003
ML5G128600	KOG4673
ML5G129000	KOG0157
ML5G129600	KOG0171
ML5G129700	KOG0069
ML5G129800	KOG3430
ML5G129900	KOG3196
ML5G130000	KOG3475
ML5G130100	KOG1606
ML5G130300	KOG0762
ML5G130400	KOG1052
ML5G130500	KOG1051
ML5G131700	KOG4282
ML5G131900	KOG0963
ML5G131900	KOG0978
ML5G133300	KOG3487
ML5G133700	KOG1555
ML5G133800	KOG4658
ML5G134100	KOG4658
ML5G134400	KOG3352
ML5G134700	KOG1187
ML5G134800	KOG1906
ML5G134900	KOG0157
ML5G135300	KOG1454
ML5G135600	KOG1455
ML5G136300	KOG0143
ML5G136800	KOG4658
ML5G136900	KOG4658
ML5G138500	KOG0617
ML5G138600	KOG1187
ML5G138700	KOG1187
ML5G138900	KOG0715
ML5G139000	KOG1121
ML5G139300	KOG1305
ML5G139800	KOG0804
ML5G139900	KOG1401
ML5G140300	KOG2624
ML5G140400	KOG3077
ML5G140500	KOG0324
ML5G140900	KOG1187
ML5G141700	KOG0725
ML5G142200	KOG0304
ML5G142400	KOG0304
ML5G142500	KOG3406
ML5G142600	KOG3358
ML5G143000	KOG3361
ML5G143100	KOG1502
ML5G143700	KOG4467
ML5G143800	KOG0198
ML5G144500	KOG4533
ML5G144700	KOG4508
ML5G145000	KOG0198
ML5G145100	KOG0185
ML5G147900	KOG0631
ML5G148000	KOG2355
ML5G148300	KOG1754
ML5G148400	KOG0011
ML5G148600	KOG0087
ML5G148900	KOG1339
ML5G149300	KOG1656
ML5G150000	KOG2662
ML5G150200	KOG0583
ML5G151100	KOG4468
ML5G151300	KOG3442
ML5G151600	KOG4658
ML5G152100	KOG1470
ML5G152200	KOG2501
ML5G152300	KOG1471
ML5G152400	KOG0270
ML5G152700	KOG3326
ML5G152800	KOG1208
ML5G152900	KOG1303
ML5G153000	KOG0675
ML5G153300	KOG0235
ML5G153400	KOG4169
ML5G153500	KOG2118
ML5G154000	KOG1270
ML5G155100	KOG0959
ML5G155300	KOG2839
ML5G155500	KOG0712
ML5G155500	KOG0715
ML5G155600	KOG1211
ML5G155700	KOG1187
ML5G156200	KOG1187
ML5G156300	KOG2399
ML5G156500	KOG2679
ML5G156700	KOG1455
ML5G156900	KOG0027
ML5G157200	KOG4522
ML5G157300	KOG3468
ML5G157600	KOG2679
ML5G158100	KOG2424
ML5G158300	KOG0978
ML5G158300	KOG1850
ML5G158300	KOG4593
ML5G158300	KOG4807
ML5G158300	KOG4809
ML5G158400	KOG1187
ML5G159200	KOG1001
ML5G159200	KOG1002
ML5G159400	KOG3317
ML5G159700	KOG2692
ML5G159800	KOG2909
ML5G160500	KOG0799
ML5G160800	KOG0053
ML5G161800	KOG3489
ML5G161900	KOG1311
ML5G162400	KOG2854
ML5G162700	KOG0176
ML5G162800	KOG0157
ML5G163400	KOG2266
ML5G164100	KOG2728
ML5G164200	KOG1623
ML5G164300	KOG1623
ML5G164500	KOG1339
ML5G164700	KOG1919
ML5G164900	KOG2816
ML5G165300	KOG1603
ML5G165400	KOG4293
ML5G165600	KOG2783
ML5G166000	KOG0583
ML5G166400	KOG0390
ML5G166500	KOG1668
ML5G167300	KOG3498
ML5G167500	KOG1657
ML5G167700	KOG0155
ML5G168000	KOG1815
ML5G168300	KOG0014
ML5G168500	KOG1187
ML5G169600	KOG0802
ML5G169700	KOG3078
ML5G170700	KOG1021
ML5G170800	KOG0617
ML5G170900	KOG1260
ML5G171300	KOG3205
ML5G171700	KOG0027
ML5G172100	KOG1590
ML5G172200	KOG1344
ML5G172900	KOG3569
ML5G173300	KOG1161
ML5G173500	KOG3291
ML5G174300	KOG0698
ML5G174800	KOG0286
ML5G175400	KOG1339
ML5G176000	KOG3268
ML5G177500	KOG4658
ML5G178000	KOG1211
ML5G178100	KOG4757
ML5G178200	KOG2381
ML5G178400	KOG4658
ML5G178800	KOG4658
ML5G178900	KOG4658
ML5G179000	KOG4658
ML5G179200	KOG4658
ML5G179500	KOG0598
ML5G179900	KOG0014
ML5G180100	KOG0143
ML5G180400	KOG4658
ML5G180700	KOG1037
ML5G180800	KOG4282
ML5G181200	KOG4172
ML5G182400	KOG2527
ML5G182700	KOG0240
ML5G182900	KOG0660
ML5G183500	KOG0406
ML5G184000	KOG1208
ML5G184100	KOG4698
ML5G184300	KOG2111
ML5G184400	KOG4698
ML5G184500	KOG4698
ML5G184900	KOG0583
ML5G185200	KOG1592
ML5G185400	KOG4522
ML5G185600	KOG2880
ML5G185800	KOG0242
ML5G186300	KOG2523
ML5G186500	KOG0239
ML5G187300	KOG1347
ML5G188700	KOG0867
ML5G188800	KOG4203
ML5G189100	KOG1116
ML5G189300	KOG4271
ML5G190000	KOG1175
ML5G190600	KOG4281
ML5G191200	KOG0749
ML5G191600	KOG0014
ML5G191800	KOG4757
ML5G191900	KOG0131
ML5G192100	KOG0032
ML5G192200	KOG0156
ML5G192300	KOG1347
ML5G192400	KOG3479
ML5G193000	KOG1919
ML5G193100	KOG1531
ML5G193200	KOG1615
ML5G193400	KOG1192
ML5G194300	KOG0717
ML5G195100	KOG0700
ML5G195700	KOG1794
ML5G196000	KOG3065
ML5G196300	KOG3801
ML5G196400	KOG2890
ML5G196800	KOG4673
ML5G196800	KOG4677
ML5G197400	KOG0885
ML5G197600	KOG2428
ML5G198100	KOG2911
ML5G199100	KOG2911
ML5G199200	KOG1601
ML5G199300	KOG1237
ML5G199800	KOG0156
ML5G199900	KOG4536
ML5G200100	KOG4658
ML5G200200	KOG4658
ML5G200300	KOG1021
ML5G202200	KOG4658
ML5G202400	KOG0682
ML5G202600	KOG1344
ML5G202700	KOG1344
ML5G202800	KOG2287
ML5G203400	KOG0296
ML5G203500	KOG3361
ML5G203800	KOG2676
ML5G203900	KOG0379
ML5G204500	KOG1235
ML5G205200	KOG1666
ML5G205300	KOG4748
ML5G205500	KOG1187
ML5G205700	KOG4658
ML5G206000	KOG4658
ML5G206400	KOG4658
ML5G206600	KOG0907
ML5G206900	KOG4658
ML5G208500	KOG1021
ML5G208800	KOG0978
ML5G208800	KOG4593
ML5G209300	KOG0048
ML5G210500	KOG1508
ML5G211300	KOG0061
ML5G211800	KOG1510
ML5G211900	KOG1725
ML5G212100	KOG0045
ML5G212200	KOG3000
ML5G213800	KOG2388
ML5G214000	KOG4658
ML5G214100	KOG0419
ML5G215000	KOG0483
ML5G215800	KOG0513
ML5G216000	KOG1187
ML5G216300	KOG0807
ML5G216400	KOG0032
ML5G216600	KOG3088
ML5G216800	KOG4658
ML5G217200	KOG0147
ML5G217400	KOG4658
ML5G217500	KOG4658
ML5G217600	KOG4658
ML5G217900	KOG4392
ML5G218200	KOG4672
ML5G218400	KOG1430
ML5G218500	KOG4467
ML5G218600	KOG4672
ML5G219000	KOG2287
ML5G219600	KOG2750
ML5G219800	KOG2081
ML5G220000	KOG2205
ML5G220500	KOG2068
ML5G220800	KOG0032
ML5G221500	KOG4658
ML5G222000	KOG4658
ML5G222100	KOG4658
ML5G222400	KOG1187
ML5G223400	KOG4467
ML5G223500	KOG1082
ML5G224200	KOG1237
ML5G224700	KOG4658
ML5G224900	KOG1700
ML5G225500	KOG4658
ML5G225800	KOG0393
ML5G225900	KOG1320
ML5G226000	KOG4658
ML5G226100	KOG4658
ML5G226300	KOG4658
ML5G226500	KOG4658
ML5G227400	KOG4658
ML5G227600	KOG4658
ML5G228000	KOG1187
ML5G228200	KOG0192
ML5G228400	KOG0583
ML5G228800	KOG1187
ML5G229300	KOG4658
ML5G229400	KOG4658
ML5G229700	KOG2487
ML5G229900	KOG4658
ML5G230100	KOG1840
ML5G230200	KOG2629
ML5G230300	KOG4658
ML5G230600	KOG0737
ML5G231000	KOG0737
ML5G231100	KOG1187
ML5G231200	KOG3361
ML5G231700	KOG0048
ML5G231800	KOG0048
ML5G232300	KOG1441
ML5G232700	KOG4658
ML5G232800	KOG4658
ML5G232900	KOG4658
ML5G233000	KOG4658
ML5G233100	KOG4658
ML5G233200	KOG4658
ML5G233300	KOG4658
ML5G233400	KOG4658
ML5G233600	KOG4658
ML5G233700	KOG4658
ML5G233800	KOG1531
ML5G233900	KOG2600
ML5G234600	KOG0133
ML5G234700	KOG3127
ML5G235000	KOG4658
ML5G235200	KOG4658
ML5G235300	KOG4658
ML5G235400	KOG4658
ML5G235700	KOG4658
ML5G235800	KOG1470
ML5G236200	KOG1187
ML5G236400	KOG4658
ML5G237000	KOG0048
ML5G237200	KOG1187
ML5G237300	KOG4658
ML5G237400	KOG4658
ML5G237700	KOG4658
ML5G238100	KOG4658
ML5G238200	KOG4658
ML5G238400	KOG4658
ML5G238800	KOG4658
ML5G238900	KOG4658
ML5G239300	KOG4658
ML5G239400	KOG1815
ML5G239600	KOG4658
ML5G239800	KOG4658
ML5G239900	KOG4658
ML5G240000	KOG4658
ML5G240100	KOG4658
ML5G240200	KOG4658
ML5G240300	KOG4658
ML5G240900	KOG1192
ML5G241600	KOG2490
ML5G241900	KOG0265
ML5G242300	KOG0156
ML5G242700	KOG1285
ML5G243200	KOG0121
ML5G243300	KOG1191
ML5G244000	KOG0131
ML5G244100	KOG1661
ML5G244300	KOG1187
ML5G244500	KOG1552
ML5G244600	KOG4658
ML5G245000	KOG4090
ML5G245300	KOG0288
ML5G245400	KOG1778
ML5G245600	KOG1267
ML5G245900	KOG0061
ML5G246500	KOG0061
ML5G246600	KOG2641
ML5G247500	KOG0483
ML5G247700	KOG4658
ML5G247800	KOG4658
ML5G248100	KOG1347
ML5G248200	KOG4658
ML5G248600	KOG4658
ML5G248700	KOG4658
ML5G249000	KOG0667
ML5G249100	KOG4658
ML5G249200	KOG4488
ML5G249300	KOG4658
ML5G249900	KOG1285
ML5G250100	KOG1285
ML5G250800	KOG0156
ML5G251300	KOG0667
ML5G251600	KOG0498
ML5G251700	KOG0853
ML5G251800	KOG0853
ML5G252000	KOG1187
ML5G252200	KOG4658
ML5G252400	KOG2952
ML5G252500	KOG2078
ML5G252600	KOG2078
ML5G252700	KOG2449
ML5G252900	KOG1208
ML5G253300	KOG2313
ML5G253700	KOG4658
ML5G254000	KOG4658
ML5G254600	KOG1541
ML5G255000	KOG3407
ML5G255200	KOG1944
ML5G255800	KOG0156
ML5G256000	KOG3109
ML5G256100	KOG1816
ML5G256700	KOG2209
ML5G257000	KOG1021
ML5G257100	KOG2289
ML5G257700	KOG1187
ML5G258000	KOG1187
ML5G258100	KOG0131
ML5G258900	KOG0156
ML5G260400	KOG2985
ML5G260900	KOG4658
ML5G261200	KOG1213
ML5G262100	KOG4658
ML5G263100	KOG1187
ML5G263400	KOG2864
ML5G263600	KOG1239
ML5G263900	KOG1735
ML5G264000	KOG1756
ML5G264100	KOG0114
ML5G264200	KOG3446
ML5G264400	KOG4658
ML5G264900	KOG4658
ML5G265400	KOG0078
ML5G265500	KOG1187
ML5G265700	KOG1754
ML5G265800	KOG3187
ML5G265900	KOG0223
ML5G266000	KOG1815
ML5G266300	KOG1284
ML5G266700	KOG1603
